OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
1,Higher Education Institutions,高等教育院校,Yew Chung College of Early Childhood Education,"2 Tin Wan Hill Road, Tin Wan, Aberdeen",耀中幼教學院,香港仔田灣田灣山道2號,,,,,,,,,,,812375,833259,22.25014127,114.14768345,2026-01-21T15:41:20,833259,812375
2,Higher Education Institutions,高等教育院校,Vocational Training Council,"VTC Tower, 27 Wood Road, Wan Chai",職業訓練局,灣仔活道 27 號職業訓練局大樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815295.5,836330.8,22.2765182,114.17748369,2026-01-21T15:41:03,836330.7999999998,815295.5
3,Higher Education Institutions,高等教育院校,UOW College Hong Kong,"1/F - 3/F, 18 Che Kung Miu Road, Tai Wai, New Territories",香港伍倫貢學院,新界大圍車公廟路18號1-3樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,826072.62460173,836658.80991136,22.37384164,114.18066903,2026-01-21T15:40:48,836658.8098999998,826072.6246000007
4,Higher Education Institutions,高等教育院校,Tung Wah College,"31 Wylie Road, Homantin, Kowloon",東華學院,九龍何文田衛理道31號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819301.2000000001,836146.1,22.31269216,114.17569126,2026-01-21T15:40:25,836146.0999999996,819301.1999999993
5,Higher Education Institutions,高等教育院校,The University of Hong Kong,Pokfulam,香港大學,薄扶林,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816125.81122921,832237.32737614,22.28401145,114.13776262,2026-01-21T15:40:02,832237.3273999998,816125.8112000003
6,Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University,"Hung Hom, Kowloon",香港理工大學,九龍紅磡,,,,,,,,,,,818355,836556,22.30414709,114.17966937,2026-01-21T15:38:58,836556,818355
7,Higher Education Institutions,高等教育院校,The Hang Seng University of Hong Kong,"Hang Shin Link, Siu Lek Yuen, Shatin, N.T.",香港恒生大學,新界沙田小瀝源行善里,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,826715.2000000001,839821.8,22.37964109,114.21138228,2026-01-21T15:38:43,839821.7999999998,826715.1999999993
8,Higher Education Institutions,高等教育院校,The Education University of Hong Kong,"10 Lo Ping Road, Tai Po, New Territories",香港教育大學,新界大埔露屏路十號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,836629.3,838062.5,22.46917289,114.19431043,2026-01-21T15:38:16,838062.5,836629.3000000007
9,Higher Education Institutions,高等教育院校,The Education University of Hong Kong,"1 King Yin Lane, Tseung Kwan O, New Territories",香港教育大學,新界將軍澳敬賢里一號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820817.1,844832.6,22.32636031,114.26000621,2026-01-21T15:37:56,844832.5999999996,820817.0999999996
10,Higher Education Institutions,高等教育院校,The Education University of Hong Kong,"19 Cheung Hong St, North Point",香港教育大學,北角長康街十九號,,,,,,,,,,,816697.40650086,838227.95350371,22.2891769,114.1958935,2026-01-21T15:37:35,838227.9534999998,816697.4065000005
11,Higher Education Institutions,高等教育院校,The Chinese University of Hong Kong,"Shatin, New Territories",香港中文大學,新界沙田,,,,,,,,,,,830423,839633,22.41312449,114.20955683,2026-01-21T15:36:01,839633,830423
12,Higher Education Institutions,高等教育院校,Technological and Higher Education Institute of Hong Kong (Chai Wan Campus),"133 Shing Tai Road, Chai Wan",香港高等教育科技學院 (柴灣校園),柴灣盛泰道133號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,814565.0050035,842841.97164284,22.26990853,114.24065863,2026-01-21T15:35:38,842841.9715999998,814565.0050000008
13,Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (East Ocean Learning Centre)","Rooms 300A, 308 and Unit 01, Basement 1, East Ocean Centre, 98 Granville Road, Tsim Sha Tsui",香港中文大學專業進修學院 (東海教學中心),尖沙咀加連威老道 98 號 東海商業中心300A室、308室及地庫1樓01室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817948.6,836359.7000000001,22.30047736,114.17776427,2026-01-21T15:35:22,836359.7000000002,817948.5999999996
14,Higher Education Institutions,高等教育院校,Lingnan Institute of Further Education,"LCH301, Lau Chung Him Building, Lingnan University, Tuen Mun",嶺南大學持續進修學院,屯門嶺南大學劉仲謙樓LCH301室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,830178.6,816437.2000000001,22.41080633,113.98427186,2026-01-21T15:34:57,816437.2000000002,830178.5999999996
15,Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University,"30 Good Shepherd Street, Ho Man Tin, Kowloon",香港都會大學,九龍何文田牧愛街三十號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819710.10031104,836614.86348293,22.31630227,114.18027137,2026-01-21T15:34:18,836614.8635,819710.1002999991
16,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Morrison Hill),"6 Oi Kwan Road, Wan Chai",香港專業教育學院 (摩理臣山),灣仔愛群道6號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815294.1,836378.7000000001,22.27650556,114.17794847,2026-01-21T15:33:59,836378.7000000002,815294.0999999996
17,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Chai Wan),"30 Shing Tai Road, Chai Wan",香港專業教育學院 (柴灣),柴灣盛泰道30號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,814788.9,842752.1,22.27193108,114.23978755,2026-01-21T15:33:39,842752.0999999996,814788.9000000004
18,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"No. 638, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",香港科技專上書院,九龍長沙灣道638號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822164.7000000001,833761.8,22.33854944,114.15254595,2026-01-21T15:33:17,833761.7999999998,822164.6999999993
19,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop 605, 6/F., Jubilee Square, 2-18 Lok King Street, Shatin, New Territories",香港科技專上書院,新界沙田樂景街2-18號銀禧薈6樓605室,,,,,,,,,,,828570,838624,22.39639266,114.19975421,2026-01-21T15:32:52,838624,828570
