english_name,chinese_name
"611 TREE OF LIFE KINDERGARTEN","611生命樹幼稚園"
"ABC PATHWAYS INTERNATIONAL KINDERGARTEN","ABC PATHWAYS國際幼稚園"
"ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","ABC PATHWAYS國際幼稚園（黃埔花園）"
"ABERDEEN BAPTIST CHURCH PAK KWONG KINDERGARTEN","香港仔浸信會白光幼稚園"
"ABERDEEN BAPTIST LUI MING CHOI COLLEGE","香港仔浸信會呂明才書院"
"ABERDEEN ST PETER'S CATHOLIC PRIMARY SCHOOL","香港仔聖伯多祿天主教小學"
"ABERDEEN TECHNICAL SCHOOL","香港仔工業學校"
"ABIDING KINDERGARTEN","遵道幼稚園"
"ACADEMY KINDERGARTEN (TIN SHUI WAI)","翰林幼稚園(天水圍)"
"ACADEMY OF INNOVATION (CONFUCIUS HALL)","孔聖堂禮仁書院"
"ACADEMY OF INNOVATION PRIMARY SCHOOL","禮仁小學"
"AD&FD OF POK OI HOSPITAL MRS CHENG YAM ON MILLENNIUM SCHOOL","博愛醫院歷屆總理聯誼會鄭任安夫人千禧小學"
"AGNES ENGLISH KINDERGARTEN","雅麗斯英文幼稚園"
"AGNES KINDERGARTEN (GRANDEUR TERRACE)","雅麗斯俊宏軒幼稚園"
"AGNES WISE KINDERGARTEN","雅麗斯樂思幼稚園"
"ALDRICH BAY GOVERNMENT PRIMARY SCHOOL","愛秩序灣官立小學"
"ALICE LAN & VERA SHEN EDUCATION FUND DELIA PEI KINDERGARTEN","藍如溪盛成皿教育基金邊陳之娟幼稚園"
"ALICE LAN & VERA SHEN EDUCATION FUND GORDON PEI KINDERGARTEN","藍如溪盛成皿教育基金邊耀良幼稚園"
"ALLIANCE PRIMARY SCHOOL KOWLOON TONG","九龍塘宣道小學"
"ALLIANCE PRIMARY SCHOOL, SHEUNG SHUI","上水宣道小學"
"ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG","大坑東宣道小學"
"ALLIANCE PRIMARY SCHOOL, WHAMPOA","黃埔宣道小學"
"AMERICAN INTERNATIONAL SCHOOL","美國國際學校"
"AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH)","美國國際學校（小學部）"
"AMERICAN SCHOOL HONG KONG","香港美國學校"
"AMOY COLLEGE","閩光書院"
"ANANI KINDERGARTEN","主蔭幼稚園"
"ANANTARA COLLEGE","泰來書院"
"ANCHORS ACADEMY","安基司學校"
"ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN","安基司學校附屬國際幼稚園"
"ANCHORS INTERNATIONAL NURSERY","安基司國際幼稚園"
"ANCHORS KINDERGARTEN","安基司幼稚園"
"ANCHORS KINDERGARTEN (FANLING)","安基司幼稚園（粉嶺）"
"ANFIELD INTERNATIONAL KINDERGARTEN","安菲爾國際幼稚園"
"ANFIELD SCHOOL","安菲爾學校"
"ANFIELD ST. BOSCO KOON YING SCHOOL","安菲爾聖鮑思高冠英學校"
"ANNUNCIATION CATHOLIC KINDERGARTEN","天主教領報幼稚園"
"AOG ST. HILARY'S COLLEGE","神召會德萃書院"
"AOI PUI SCHOOL","愛培學校"
"A-ONE KINDERGARTEN","第一幼稚園"
"AP SCHOOL","奧柏學校"
"APLICHAU KAIFONG PRIMARY SCHOOL","鴨脷洲街坊學校"
"ARISTLE INTERNATIONAL KINDERGARTEN","雅士圖國際幼稚園"
"ARTS & TECHNOLOGY EDUCATION CENTRE","藝術與科技教育中心"
"ASBURY METHODIST KINDERGARTEN","循道衛理聯合教會亞斯理幼稚園"
"ASBURY METHODIST PRIMARY SCHOOL","亞斯理衛理小學"
"ASSEMBLY OF GOD HEBRON EVENING SCHOOL","神召會康樂夜中學"
"ASSEMBLY OF GOD HEBRON SECONDARY SCHOOL","神召會康樂中學"
"ASSEMBLY OF GOD LEUNG SING TAK PRIMARY SCHOOL","基督教神召會梁省德小學"
"ASSEMBLY OF GOD UNION CHURCH KINDERGARTEN","基督教神召會合一堂幼稚園"
"AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG","香港澳洲國際學校"
"BAPTIST (SHA TIN WAI) LUI MING CHOI PRIMARY SCHOOL","浸信會沙田圍呂明才小學"
"BAPTIST CHURCH SHINING GRACE KINDERGARTEN","浸信會華恩幼稚園"
"BAPTIST HUNG HIN SHIU RAINBOW PRIMARY SCHOOL","浸信會孔憲紹天虹小學"
"BAPTIST LUI MING CHOI PRIMARY SCHOOL","浸信會呂明才小學"
"BAPTIST LUI MING CHOI SECONDARY SCHOOL","浸信會呂明才中學"
"BAPTIST OI KWAN SOCIAL SERVICE PUI YAN PRE-PRIMARY SCHOOL","浸信會愛羣社會服務處培殷幼兒學校"
"BAPTIST PUI LI SCHOOL","浸信會培理學校"
"BAPTIST WING LUNG SECONDARY SCHOOL","浸信會永隆中學"
"BEACON COLLEGE","遵理學校"
"BEACON COLLEGE (MONG KOK)","遵理學校(旺角)"
"BEACON HILL SCHOOL","畢架山學校"
"BELILIOS PUBLIC SCHOOL","庇理羅士女子中學"
"BENEVOLENT LIGHT KINDERGARTEN","慈光幼稚園"
"BETHEL HIGH SCHOOL","伯特利中學"
"BEVERLY ANGLO-CHINESE KINDERGARTEN","比華利中英文幼稚園"
"BISHOP FORD MEMORIAL SCHOOL","福德學校"
"BISHOP HALL JUBILEE SCHOOL","何明華會督銀禧中學"
"BISHOP PASCHANG CATHOLIC SCHOOL","天主教柏德學校"
"BISHOP WALSH PRIMARY SCHOOL","華德學校"
"BLOOM KKCA ACADEMY","百卉九江書院"
"BO BO NURSERY SCHOOL","寶寶幼兒學校"
"BONHAM ROAD GOVERNMENT PRIMARY SCHOOL","般咸道官立小學"
"BOX HILL (HK) INTERNATIONAL KINDERGARTEN","博士山（香港）國際幼稚園"
"BOX HILL (HK) INTERNATIONAL KINDERGARTEN - TSEUNG KWAN O","博士山(香港)國際幼稚園-將軍澳"
"BOX HILL (HK) INTERNATIONAL KINDERGARTEN-FO TAN","博士山(香港)國際幼稚園-火炭"
"BRADBURY SCHOOL","白普理小學"
"BRAEMAR HILL NURSERY SCHOOL","寶山幼稚園"
"BUDDHIST CHAN WING KAN MEMORIAL SCHOOL","佛教陳榮根紀念學校"
"BUDDHIST CHEUNG MUI KWAI KINDERGARTEN","佛教張梅桂幼稚園"
"BUDDHIST CHI KING PRIMARY SCHOOL","佛教慈敬學校"
"BUDDHIST CHI KWONG KINDERGARTEN","佛教慈光幼稚園"
"BUDDHIST CHI WAI DAY NURSERY","佛教慈慧幼稚園"
"BUDDHIST CHUN YUE LEE KAM ZI MEMORIAL KINDERGARTEN","佛教真如李琴芝紀念幼稚園"
"BUDDHIST CHUNG WAH KORNHILL PRIMARY SCHOOL","佛教中華康山學校"
"BUDDHIST FAT HO MEMORIAL COLLEGE","佛教筏可紀念中學"
"BUDDHIST FOO HONG KINDERGARTEN","佛教傅康幼稚園"
"BUDDHIST HO NAM KAM COLLEGE","佛教何南金中學"
"BUDDHIST HUNG SEAN CHAU MEMORIAL COLLEGE","佛教孔仙洲紀念中學"
"BUDDHIST KAM LAI KINDERGARTEN","佛教金麗幼稚園"
"BUDDHIST KOK KWONG SECONDARY SCHOOL","佛教覺光法師中學"
"BUDDHIST LAM BING YIM MEMORIAL SCHOOL (SPONSORED BY THE HONG KONG BUDDHIST ASSOCIATION)","佛教林炳炎紀念學校(香港佛教聯合會主辦)"
"BUDDHIST LIM KIM TIAN MEMORIAL PRIMARY SCHOOL","佛教林金殿紀念小學"
"BUDDHIST MAU FUNG MEMORIAL COLLEGE","佛教茂峰法師紀念中學"
"BUDDHIST MR. & MRS. CHAN CHART MAN KINDERGARTEN","佛教陳策文伉儷幼稚園"
"BUDDHIST SIN TAK COLLEGE","佛教善德英文中學"
"BUDDHIST SUM HEUNG LAM MEMORIAL COLLEGE","佛教沈香林紀念中學"
"BUDDHIST SUM TUNG FOOK KINDERGARTEN","佛教沈東福幼稚園"
"BUDDHIST TAI HUNG COLLEGE","佛教大雄中學"
"BUDDHIST TAI KWONG CHI HONG COLLEGE","佛教大光慈航中學"
"BUDDHIST TO CHI FAT SHE YEUNG YAT LAM MEMORIAL SCHOOL (PRIMARY SECTION)","道慈佛社楊日霖紀念學校(小學部)"
"BUDDHIST TO CHI FAT SHE YEUNG YAT LAM MEMORIAL SCHOOL (SECONDARY SECTION)","道慈佛社楊日霖紀念學校(中學部)"
"BUDDHIST TSANG KOR SING ANGLO-CHINESE KINDERGARTEN","佛教曾果成中英文幼稚園"
"BUDDHIST WING YAN SCHOOL","佛教榮茵學校"
"BUDDHIST WONG CHEUK UM PRIMARY SCHOOL","佛教黃焯菴小學"
"BUDDHIST WONG FUNG LING COLLEGE","佛教黃鳳翎中學"
"BUDDHIST WONG WAN TIN COLLEGE","佛教黃允畋中學"
"BUDDHIST YIP KEI NAM MEMORIAL COLLEGE","佛教葉紀南紀念中學"
"BUI O PUBLIC SCHOOL","杯澳公立學校"
"BUSY BEES KINDERGARTEN","小蜜蜂幼稚園"
"C C C MONGKOK CHURCH JEANNETTE KINDERGARTEN","中華基督教會望覺堂賢貞幼稚園"
"CALIFORNIA SCHOOL","加州學校"
"CANADIAN INTERNATIONAL SCHOOL","加拿大國際學校"
"CANNAN KINDERGARTEN (CENTRAL CAINE ROAD)","迦南幼稚園(中環堅道)"
"CANNAN KINDERGARTEN (CHARMING GARDEN)","迦南幼稚園（富榮花園）"
"CANNAN KINDERGARTEN (KOWLOON TONG)","迦南幼稚園（九龍塘）"
"CANNAN KINDERGARTEN (LAGUNA CITY)","迦南幼稚園(麗港城)"
"CANNAN KINDERGARTEN (PRIME VIEW GARDEN)","迦南幼稚園(景峰花園)"
"CANNAN KINDERGARTEN (RIVIERA GARDEN)","迦南幼稚園(海濱花園)"
"CANNAN KINDERGARTEN (SIU SAI WAN)","迦南幼稚園(小西灣)"
"CANNAN KINDERGARTEN (TSEUNG KWAN O)","迦南幼稚園(將軍澳)"
"CANNAN KINDERGARTEN (TSUEN WAN)","迦南幼稚園﹝荃灣﹞"
"CANNAN KINDERGARTEN (WATERLOO ROAD)","迦南幼稚園(窩打老道)"
"CANNAN KINDERGARTEN (WHAMPOA GARDEN)","迦南幼稚園(黃埔花園)"
"CANOSSA COLLEGE","嘉諾撒書院"
"CANOSSA PRIMARY SCHOOL","嘉諾撒小學"
"CANOSSA PRIMARY SCHOOL (SAN PO KONG)","嘉諾撒小學(新蒲崗)"
"CANOSSA SCHOOL (HONG KONG)","香港嘉諾撒學校"
"CARITAS CHAI WAN MARDEN FOUNDATION SECONDARY SCHOOL","明愛柴灣馬登基金中學"
"CARITAS CHAN CHUN HA FIELD STUDIES CENTRE","明愛陳震夏郊野學園"
"CARITAS CHONG YUET MING SECONDARY SCHOOL","明愛莊月明中學"
"CARITAS FANLING CHAN CHUN HA SECONDARY SCHOOL","明愛粉嶺陳震夏中學"
"CARITAS JOCKEY CLUB LOK YAN SCHOOL (PRIMARY SECTION)","明愛賽馬會樂仁學校(小學部)"
"CARITAS JOCKEY CLUB LOK YAN SCHOOL (SECONDARY SECTION)","明愛賽馬會樂仁學校(中學部)"
"CARITAS KAI YAU NURSERY SCHOOL","明愛啓幼幼兒學校"
"CARITAS LING YUET SIN KINDERGARTEN","明愛凌月仙幼稚園"
"CARITAS LIONS CLUB OF HONG KONG (PACIFIC) NURSERY SCHOOL","明愛香港太平洋獅子會幼兒學校"
"CARITAS LOK JUN SCHOOL (PRIMARY SECTION)","明愛樂進學校(小學部)"
"CARITAS LOK JUN SCHOOL (SECONDARY SECTION)","明愛樂進學校(中學部)"
"CARITAS LOK KAN SCHOOL (PRIMARY SECTION)","明愛樂勤學校(小學部)"
"CARITAS LOK KAN SCHOOL (SECONDARY SECTION)","明愛樂勤學校(中學部)"
"CARITAS LOK YI SCHOOL (PRIMARY SECTION)","明愛樂義學校(小學部)"
"CARITAS LOK YI SCHOOL (SECONDARY SECTION)","明愛樂義學校(中學部)"
"CARITAS MA ON SHAN SECONDARY SCHOOL","明愛馬鞍山中學"
"CARITAS MOTHER TERESA SCHOOL","明愛樂恩學校"
"CARITAS NURSERY SCHOOL - KENNEDY TOWN","明愛堅尼地城幼兒學校"
"CARITAS NURSERY SCHOOL - LEI YUE MUN","明愛鯉魚門幼兒學校"
"CARITAS NURSERY SCHOOL - SHATIN","明愛沙田幼兒學校"
"CARITAS NURSERY SCHOOL - TA KWU LING","明愛打鼓嶺幼兒學校"
"CARITAS NURSERY SCHOOL - TSUI LAM","明愛翠林幼兒學校"
"CARITAS NURSERY SCHOOL - YAU TONG","明愛油塘幼兒學校"
"CARITAS PELLETIER SCHOOL (PRIMARY SECTION)","明愛培立學校(小學部)"
"CARITAS PELLETIER SCHOOL (SECONDARY SECTION)","明愛培立學校(中學部)"
"CARITAS RESURRECTION SCHOOL (PRIMARY SECTION)","明愛樂群學校(小學部)"
"CARITAS RESURRECTION SCHOOL (SECONDARY SECTION)","明愛樂群學校(中學部)"
"CARITAS ST. FRANCIS KINDERGARTEN","明愛聖方濟各幼稚園"
"CARITAS ST. JOSEPH SECONDARY SCHOOL","明愛聖若瑟中學"
"CARITAS TUEN MUN MARDEN FOUNDATION SECONDARY SCHOOL","明愛屯門馬登基金中學"
"CARITAS WU CHENG-CHUNG COLLEGE","明愛胡振中書院"
"CARITAS YUEN LONG CHAN CHUN HA SECONDARY SCHOOL","明愛元朗陳震夏中學"
"CARITAS ZONTA CLUB OF HONG KONG NURSERY SCHOOL","明愛香港崇德社幼兒學校"
"CARMEL ALISON LAM FOUNDATION SECONDARY SCHOOL","迦密愛禮信中學"
"CARMEL ALISON LAM PRIMARY SCHOOL","迦密愛禮信小學"
"CARMEL BUNNAN TONG MEMORIAL SECONDARY SCHOOL","迦密唐賓南紀念中學"
"CARMEL DIVINE GRACE FOUNDATION SECONDARY SCHOOL","迦密主恩中學"
"CARMEL HOLY WORD SECONDARY SCHOOL","迦密聖道中學"
"CARMEL LEUNG SING TAK SCHOOL","迦密梁省德學校"
"CARMEL PAK U SECONDARY SCHOOL","迦密柏雨中學"
"CARMEL SCHOOL","卡梅爾學校"
"CARMEL SECONDARY SCHOOL","迦密中學"
"CASTAR KINDERGARTEN","世德幼稚園"
"CASTAR KINDERGARTEN (LEI MUK SHUE)","世德幼稚園（梨木樹）"
"CASTLE PEAK CATHOLIC PRIMARY SCHOOL","青山天主教小學"
"CATHOLIC MING YUEN SECONDARY SCHOOL","天主教鳴遠中學"
"CATHOLIC MISSION SCHOOL","天主教總堂區學校"
"CATILINE ANGLO-CHINESE KINDERGARTEN","嘉德麗中英文幼稚園"
"CAUSEWAY BAY VICTORIA INTERNATIONAL KINDERGARTEN","銅鑼灣維多利亞國際幼稚園"
"CAUSEWAY BAY VICTORIA KINDERGARTEN","銅鑼灣維多利亞幼稚園"
"CAUSEWAY BAY VICTORIA NURSERY (HARBOUR HEIGHTS)","銅鑼灣維多利亞(海峰園)幼稚園"
"CECES ORGANIZED AETNA PRESCHOOL","幼聯主辦安泰幼兒學校"
"CENTRAL & WESTERN DISTRICT ST. ANTHONY'S SCHOOL","中西區聖安多尼學校"
"CHAI WAN BAPTIST CHURCH PRE-SCHOOL EDUCATION LUI MING CHOI KINDERGARTEN","柴灣浸信會學前教育中心呂明才幼稚園"
"CHAI WAN BAPTIST CHURCH PRE-SCHOOL EDUCATION LUI MING CHOI KINDERGARTEN (SIU SAI WAN)","柴灣浸信會學前教育中心呂明才幼稚園(小西灣)"
"CHAI WAN KOK CATHOLIC PRIMARY SCHOOL","柴灣角天主教小學"
"CHAN EN MEI LUTHERAN DAY NURSERY","路德會陳恩美幼稚園"
"CHAN MUNG YAN LUTHERAN KINDERGARTEN","路德會陳蒙恩幼稚園"
"CHAN SUI KI (LA SALLE) COLLEGE","陳瑞祺(喇沙)書院"
"CHAN SUI KI (LA SALLE) PRIMARY SCHOOL","陳瑞祺(喇沙)小學"
"CHAN'S CREATIVE KINDERGARTEN","啓基幼稚園"
"CHAN'S CREATIVE SCHOOL","啓基學校"
"CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND)","啓基學校(港島)"
"CHATSWORTH INTERNATIONAL KINDERGARTEN (BOUNDARY STREET)","新加坡卓薈國際幼稚園(界限街)"
"CHE LOK KINDERGARTEN","智樂幼稚園"
"CHENG CHEK CHEE SECONDARY SCHOOL OF SAI KUNG AND HANG HAU DISTRICT, N.T.","新界西貢坑口區鄭植之中學"
"CHERISH ENGLISH SCHOOL & KINDERGARTEN","卓基英文學校暨幼稚園"
"CHEUNG CHAU GOVERNMENT SECONDARY SCHOOL","長洲官立中學"
"CHEUNG CHAU SACRED HEART KINDERGARTEN","長洲聖心幼稚園"
"CHEUNG CHAU SACRED HEART SCHOOL","長洲聖心學校"
"CHEUNG CHING LUTHERAN DAY NURSERY","路德會長青幼稚園"
"CHEUNG CHUK SHAN COLLEGE","張祝珊英文中學"
"CHEUNG SHA WAN CATHOLIC PRIMARY SCHOOL","長沙灣天主教小學"
"CHEUNG SHA WAN CATHOLIC SECONDARY SCHOOL","長沙灣天主教英文中學"
